"","az","date","senat","kammer_txt","richter_txt","anordnung","link"
"4371","2 BvR 1108/03",2005-02-09,"2","3","Hassemer,Osterloh,Mellinghoff",0,"http://www.bverfg.de/e/rk20050209_2bvr110803.html"
"4372","2 BvR 308/04",2005-02-04,"2","3","Hassemer,Osterloh,Mellinghoff",0,"http://www.bverfg.de/e/rk20050204_2bvr030804.html"
"4373","2 BvR 2445/04",2005-02-04,"2","3","Hassemer,Osterloh,Mellinghoff",0,"http://www.bverfg.de/e/rk20050204_2bvr244504.html"
"4374","1 BvR 2019/03",2005-02-01,"1","1","Papier,Hohmann-Dennhardt,Hoffmann-Riem",0,"http://www.bverfg.de/e/rk20050201_1bvr201903.html"
"4375","1 BvR 2790/04",2005-02-01,"1","1","Papier,Hohmann-Dennhardt,Hoffmann-Riem",0,"http://www.bverfg.de/e/rk20050201_1bvr279004.html"
"4376","2 BvR 2456/04",2005-02-01,"2","3","Hassemer,Osterloh,Mellinghoff",0,"http://www.bverfg.de/e/rk20050201_2bvr245604.html"
"4377","1 BvR 136/05",2005-01-28,"1","3","Hömig,Hoffmann-Riem,Gaier",0,"http://www.bverfg.de/e/rk20050128_1bvr013605.html"
"4378","1 BvR 1571/02",2005-01-26,"1","3","Papier,Steiner,Gaier",0,"http://www.bverfg.de/e/rk20050126_1bvr157102.html"
"4379","1 BvR 1858/04",2005-01-26,"1","3","Papier,Steiner,Gaier",0,"http://www.bverfg.de/e/rk20050126_1bvr185804.html"
"4380","2 BvR 1899/04",2005-01-26,"2","1","Broß,DiFabio,Lübbe-Wolff",0,"http://www.bverfg.de/e/rk20050126_2bvr189904.html"
"4385","1 BvR 1953/00",2005-01-24,"1","1","Papier,Hohmann-Dennhardt,Hoffmann-Riem",0,"http://www.bverfg.de/e/rk20050124_1bvr195300.html"
"4386","1 BvR 2653/03",2005-01-24,"1","1","Papier,Hohmann-Dennhardt,Hoffmann-Riem",0,"http://www.bverfg.de/e/rk20050124_1bvr265303.html"
"4387","2 BvR 2261/03",2005-01-21,"2","3","Hassemer,Osterloh,Mellinghoff",0,"http://www.bverfg.de/e/rk20050121_2bvr226103.html"
"4388","2 BvR 983/04",2005-01-14,"2","3","Hassemer,Osterloh,Mellinghoff",0,"http://www.bverfg.de/e/rk20050114_2bvr098304.html"
"4389","2 BvR 1975/03",2005-01-14,"2","3","Hassemer,Osterloh,Mellinghoff",0,"http://www.bverfg.de/e/rk20050114_2bvr197503.html"
"4391","1 BvR 113/03",2004-12-29,"1","2","Hömig,Bryde,Gaier",0,"http://www.bverfg.de/e/rk20041229_1bvr011303.html"
"4392","1 BvR 2283/03",2004-12-29,"1","2","Hömig,Bryde,Gaier",0,"http://www.bverfg.de/e/rk20041229_1bvr228303.html"
"4393","1 BvR 2820/04",2004-12-29,"1","2","Hömig,Bryde,Gaier",0,"http://www.bverfg.de/e/rk20041229_1bvr282004.html"
"4394","1 BvR 2790/04",2004-12-28,"1","3","Papier,Steiner,Hohmann-Dennhardt",0,"http://www.bverfg.de/e/rk20041228_1bvr279004.html"
"4395","2 BvR 497/03",2004-12-22,"2","3","Hassemer,Osterloh,Mellinghoff",0,"http://www.bverfg.de/e/rk20041222_2bvr049703.html"
"4396","1 BvR 2652/03",2004-12-21,"1","2","Hömig,Bryde,Gaier",0,"http://www.bverfg.de/e/rk20041221_1bvr265203.html"
"4397","2 BvR 2197/04",2004-12-21,"2","3","Hassemer,Osterloh,Mellinghoff",0,"http://www.bverfg.de/e/rk20041221_2bvr219704.html"
"4398","1 BvR 765/00",2004-12-16,"1","3","Papier,Steiner,Hohmann-Dennhardt",0,"http://www.bverfg.de/e/rk20041216_1bvr076500.html"
"4399","1 BvR 2495/04",2004-12-15,"1","2","Hömig,Bryde,Gaier",0,"http://www.bverfg.de/e/rk20041215_1bvr249504.html"
"4400","2 BvR 1210/01",2004-12-15,"2","1","Broß,DiFabio,Gerhardt",0,"http://www.bverfg.de/e/rk20041215_2bvr121001.html"
"4401","2 BvR 1873/04",2004-12-15,"2","3","Hassemer,Osterloh,Mellinghoff",0,"http://www.bverfg.de/e/rk20041215_2bvr187304.html"
"4402","2 BvR 2219/01",2004-12-15,"2","2","Jentsch,Broß,Lübbe-Wolff",0,"http://www.bverfg.de/e/rk20041215_2bvr221901.html"
"4403","1 BvR 411/00",2004-12-14,"1","1","Papier,Haas,Hoffmann-Riem",0,"http://www.bverfg.de/e/rk20041214_1bvr041100.html"
"4404","2 BvR 1249/04",2004-12-14,"2","3","Hassemer,Osterloh,Mellinghoff",0,"http://www.bverfg.de/e/rk20041214_2bvr124904.html"
"4405","2 BvR 1451/04",2004-12-14,"2","3","Hassemer,Osterloh,Mellinghoff",0,"http://www.bverfg.de/e/rk20041214_2bvr145104.html"
"4406","1 BvR 1487/04",2004-12-13,"1","3","Papier,Steiner,Hohmann-Dennhardt",0,"http://www.bverfg.de/e/rk20041213_1bvr148704.html"
"4407","1 BvR 2320/98",2004-12-10,"1","3","Papier,Steiner,Hohmann-Dennhardt",0,"http://www.bverfg.de/e/rk20041210_1bvr232098.html"
"4408","2 BvR 890/00",2004-12-10,"2","1","Broß,DiFabio,Gerhardt",0,"http://www.bverfg.de/e/rk20041210_2bvr089000.html"
"4409","2 BvR 930/04",2004-12-09,"2","3","Hassemer,Osterloh,Mellinghoff",0,"http://www.bverfg.de/e/rk20041209_2bvr093004.html"
"4410","2 BvR 2314/04",2004-12-09,"2","3","Hassemer,Osterloh,Mellinghoff",0,"http://www.bverfg.de/e/rk20041209_2bvr231404.html"
"4411","2 BvL 1/04",2004-12-08,"2","3","Hassemer,Osterloh,Mellinghoff",0,"http://www.bverfg.de/e/lk20041208_2bvl000104.html"
"4412","2 BvL 12/04",2004-12-08,"2","3","Hassemer,Osterloh,Mellinghoff",0,"http://www.bverfg.de/e/lk20041208_2bvl001204.html"
"4413","1 BvR 1238/04",2004-12-08,"1","1","Papier,Haas,Hoffmann-Riem",0,"http://www.bverfg.de/e/rk20041208_1bvr123804.html"
"4414","1 BvR 1417/02",2004-12-08,"1","3","Papier,Steiner,Hohmann-Dennhardt",0,"http://www.bverfg.de/e/rk20041208_1bvr141702.html"
"4415","2 BvR 52/02",2004-12-08,"2","2","Jentsch,Broß,Lübbe-Wolff",0,"http://www.bverfg.de/e/rk20041208_2bvr005202.html"
